Link ID: _y588, current_velocityが0の割合: 0.19, 出現回数: 258
Link ID: _y582, current_velocityが0の割合: 0.19, 出現回数: 191
Link ID: _y138, current_velocityが0の割合: 0.19, 出現回数: 2269
Link ID: _y297, current_velocityが0の割合: 0.19, 出現回数: 32
Link ID: _y401, current_velocityが0の割合: 0.19, 出現回数: 43
Link ID: _y867, current_velocityが0の割合: 0.19, 出現回数: 4406
Link ID: _y309, current_velocityが0の割合: 0.19, 出現回数: 1126
Link ID: _y288, current_velocityが0の割合: 0.19, 出現回数: 496
Link ID: _y731, current_velocityが0の割合: 0.19, 出現回数: 27
Link ID: _y171, current_velocityが0の割合: 0.18, 出現回数: 911
Link ID: _y1122, current_velocityが0の割合: 0.18, 出現回数: 137
Link ID: _y741, current_velocityが0の割合: 0.18, 出現回数: 132
Link ID: _y753, current_velocityが0の割合: 0.18, 出現回数: 270
Link ID: _y023, current_velocityが0の割合: 0.18, 出現回数: 408
Link ID: _y262, current_velocityが0の割合: 0.18, 出現回数: 663
Link ID: _y779, current_velocityが0の割合: 0.18, 出現回数: 183
Link ID: _y1123, current_velocityが0の割合: 0.18, 出現回数: 3246
Link ID: _y359, current_velocityが0の割合: 0.18, 出現回数: 102
Link ID: _y302, current_velocityが0の割合: 0.17, 出現回数: 11378
Link ID: _y615, current_velocityが0の割合: 0.17, 出現回数: 305
Link ID: _y932, current_velocityが0の割合: 0.17, 出現回数: 1392
Link ID: _y295, current_velocityが0の割合: 0.17, 出現回数: 82
Link ID: _y785, current_velocityが0の割合: 0.17, 出現回数: 53
Link ID: _y538, current_velocityが0の割合: 0.17, 出現回数: 36
Link ID: _y677, current_velocityが0の割合: 0.17, 出現回数: 60
Link ID: _y732, current_velocityが0の割合: 0.17, 出現回数: 132
Link ID: _y477, current_velocityが0の割合: 0.16, 出現回数: 213
Link ID: _y634, current_velocityが0の割合: 0.16, 出現回数: 305
Link ID: _y919, current_velocityが0の割合: 0.16, 出現回数: 490
Link ID: _y045, current_velocityが0の割合: 0.16, 出現回数: 2164
Link ID: _y487, current_velocityが0の割合: 0.16, 出現回数: 829
Link ID: _y774, current_velocityが0の割合: 0.16, 出現回数: 150
Link ID: _y1136, current_velocityが0の割合: 0.16, 出現回数: 226
Link ID: _y728, current_velocityが0の割合: 0.16, 出現回数: 127
Link ID: _y524, current_velocityが0の割合: 0.16, 出現回数: 965
Link ID: _y294, current_velocityが0の割合: 0.15, 出現回数: 163
Link ID: _y331, current_velocityが0の割合: 0.15, 出現回数: 105
Link ID: _y930, current_velocityが0の割合: 0.15, 出現回数: 199
Link ID: _y500, current_velocityが0の割合: 0.15, 出現回数: 3590
Link ID: _y411, current_velocityが0の割合: 0.14, 出現回数: 2342
Link ID: _y901, current_velocityが0の割合: 0.14, 出現回数: 28
Link ID: _y738, current_velocityが0の割合: 0.14, 出現回数: 281
Link ID: _y408, current_velocityが0の割合: 0.14, 出現回数: 99
Link ID: _y504, current_velocityが0の割合: 0.14, 出現回数: 616
Link ID: _y163, current_velocityが0の割合: 0.14, 出現回数: 232
Link ID: _y624, current_velocityが0の割合: 0.14, 出現回数: 168
Link ID: _y180, current_velocityが0の割合: 0.14, 出現回数: 280
Link ID: _y625, current_velocityが0の割合: 0.13, 出現回数: 142
Link ID: _y734, current_velocityが0の割合: 0.13, 出現回数: 323
Link ID: _y517, current_velocityが0の割合: 0.13, 出現回数: 401
Link ID: _y892, current_velocityが0の割合: 0.13, 出現回数: 1170
Link ID: _y672, current_velocityが0の割合: 0.13, 出現回数: 46
Link ID: _y934, current_velocityが0の割合: 0.13, 出現回数: 207
Link ID: _y1076, current_velocityが0の割合: 0.13, 出現回数: 100
Link ID: _y921, current_velocityが0の割合: 0.13, 出現回数: 832
Link ID: _y760, current_velocityが0の割合: 0.13, 出現回数: 240
Link ID: _y590, current_velocityが0の割合: 0.13, 出現回数: 101
Link ID: _y553, current_velocityが0の割合: 0.13, 出現回数: 1198
Link ID: _y280, current_velocityが0の割合: 0.13, 出現回数: 188
Link ID: _y674, current_velocityが0の割合: 0.13, 出現回数: 141
Link ID: _y351, current_velocityが0の割合: 0.13, 出現回数: 55
Link ID: _y353, current_velocityが0の割合: 0.13, 出現回数: 55
Link ID: _y956, current_velocityが0の割合: 0.13, 出現回数: 371
Link ID: _y882, current_velocityが0の割合: 0.13, 出現回数: 979
Link ID: _y399, current_velocityが0の割合: 0.13, 出現回数: 6262
Link ID: _y216, current_velocityが0の割合: 0.12, 出現回数: 8
Link ID: _y246, current_velocityが0の割合: 0.12, 出現回数: 8
Link ID: _y767, current_velocityが0の割合: 0.12, 出現回数: 40
Link ID: _y018, current_velocityが0の割合: 0.12, 出現回数: 162
Link ID: _y436, current_velocityが0の割合: 0.12, 出現回数: 41
Link ID: _y191, current_velocityが0の割合: 0.12, 出現回数: 199
Link ID: _y1111, current_velocityが0の割合: 0.12, 出現回数: 557
Link ID: _y612, current_velocityが0の割合: 0.12, 出現回数: 127
Link ID: _y228, current_velocityが0の割合: 0.12, 出現回数: 17
Link ID: _y580, current_velocityが0の割合: 0.12, 出現回数: 68
Link ID: _y654, current_velocityが0の割合: 0.12, 出現回数: 77
Link ID: _y931, current_velocityが0の割合: 0.12, 出現回数: 78
Link ID: _y042, current_velocityが0の割合: 0.12, 出現回数: 1243
Link ID: _y307, current_velocityが0の割合: 0.11, 出現回数: 3070
Link ID: _y501, current_velocityが0の割合: 0.11, 出現回数: 88
Link ID: _y787, current_velocityが0の割合: 0.11, 出現回数: 1037
Link ID: _y021, current_velocityが0の割合: 0.11, 出現回数: 1386
Link ID: _y937, current_velocityが0の割合: 0.11, 出現回数: 1857
Link ID: _y208, current_velocityが0の割合: 0.11, 出現回数: 27
Link ID: _y710, current_velocityが0の割合: 0.11, 出現回数: 36
Link ID: _y858, current_velocityが0の割合: 0.11, 出現回数: 27
Link ID: _y898, current_velocityが0の割合: 0.11, 出現回数: 1966
Link ID: _y541, current_velocityが0の割合: 0.11, 出現回数: 670
Link ID: _y417, current_velocityが0の割合: 0.11, 出現回数: 11569
Link ID: _y164, current_velocityが0の割合: 0.11, 出現回数: 56
Link ID: _y168, current_velocityが0の割合: 0.11, 出現回数: 168
Link ID: _y891, current_velocityが0の割合: 0.11, 出現回数: 3714
Link ID: _y317, current_velocityが0の割合: 0.11, 出現回数: 123
Link ID: _y437, current_velocityが0の割合: 0.10, 出現回数: 297
Link ID: _y667, current_velocityが0の割合: 0.10, 出現回数: 128
Link ID: _y1190, current_velocityが0の割合: 0.10, 出現回数: 702
Link ID: _y404, current_velocityが0の割合: 0.10, 出現回数: 357
Link ID: _y316, current_velocityが0の割合: 0.10, 出現回数: 20
Link ID: _y637, current_velocityが0の割合: 0.10, 出現回数: 20
Link ID: _y293, current_velocityが0の割合: 0.10, 出現回数: 271
Link ID: _y1003, current_velocityが0の割合: 0.10, 出現回数: 31
Link ID: _y287, current_velocityが0の割合: 0.10, 出現回数: 31
Link ID: _y589, current_velocityが0の割合: 0.10, 出現回数: 31
Link ID: _y533, current_velocityが0の割合: 0.10, 出現回数: 281
Link ID: _y528, current_velocityが0の割合: 0.09, 出現回数: 1337
Link ID: _y594, current_velocityが0の割合: 0.09, 出現回数: 1129
Link ID: _y871, current_velocityが0の割合: 0.09, 出現回数: 2818
Link ID: _y024, current_velocityが0の割合: 0.09, 出現回数: 85
Link ID: _y603, current_velocityが0の割合: 0.09, 出現回数: 693
