Link ID: _y929, current_velocityが0の割合: 0.08, 出現回数: 1294
Link ID: _y388, current_velocityが0の割合: 0.08, 出現回数: 206
Link ID: _y603, current_velocityが0の割合: 0.08, 出現回数: 452
Link ID: _y541, current_velocityが0の割合: 0.08, 出現回数: 456
Link ID: _y138, current_velocityが0の割合: 0.08, 出現回数: 975
Link ID: _y620, current_velocityが0の割合: 0.08, 出現回数: 87
Link ID: _y930, current_velocityが0の割合: 0.08, 出現回数: 199
Link ID: _y1003, current_velocityが0の割合: 0.08, 出現回数: 25
Link ID: _y528, current_velocityが0の割合: 0.08, 出現回数: 1067
Link ID: _y1195, current_velocityが0の割合: 0.08, 出現回数: 216
Link ID: _y394, current_velocityが0の割合: 0.08, 出現回数: 285
Link ID: _y284, current_velocityが0の割合: 0.07, 出現回数: 40
Link ID: _y1190, current_velocityが0の割合: 0.07, 出現回数: 729
Link ID: _y176, current_velocityが0の割合: 0.07, 出現回数: 56
Link ID: _y738, current_velocityが0の割合: 0.07, 出現回数: 70
Link ID: _y588, current_velocityが0の割合: 0.07, 出現回数: 367
Link ID: _y854, current_velocityが0の割合: 0.07, 出現回数: 858
Link ID: _y262, current_velocityが0の割合: 0.07, 出現回数: 172
Link ID: _y865, current_velocityが0の割合: 0.07, 出現回数: 43
Link ID: _y474, current_velocityが0の割合: 0.07, 出現回数: 1059
Link ID: _y502, current_velocityが0の割合: 0.07, 出現回数: 179
Link ID: _y318, current_velocityが0の割合: 0.07, 出現回数: 15
Link ID: _y1120, current_velocityが0の割合: 0.07, 出現回数: 181
Link ID: _y1130, current_velocityが0の割合: 0.06, 出現回数: 154
Link ID: _y575, current_velocityが0の割合: 0.06, 出現回数: 419
Link ID: _y322, current_velocityが0の割合: 0.06, 出現回数: 1152
Link ID: _y230, current_velocityが0の割合: 0.06, 出現回数: 16
Link ID: _y508, current_velocityが0の割合: 0.06, 出現回数: 97
Link ID: _y1139, current_velocityが0の割合: 0.06, 出現回数: 133
Link ID: _y017, current_velocityが0の割合: 0.06, 出現回数: 334
Link ID: _y1111, current_velocityが0の割合: 0.06, 出現回数: 117
Link ID: _y696, current_velocityが0の割合: 0.06, 出現回数: 186
Link ID: _y387, current_velocityが0の割合: 0.06, 出現回数: 193
Link ID: _y707, current_velocityが0の割合: 0.06, 出現回数: 321
Link ID: _y496, current_velocityが0の割合: 0.06, 出現回数: 1682
Link ID: _y1199, current_velocityが0の割合: 0.06, 出現回数: 18
Link ID: _y294, current_velocityが0の割合: 0.06, 出現回数: 18
Link ID: _y351, current_velocityが0の割合: 0.06, 出現回数: 18
Link ID: _y946, current_velocityが0の割合: 0.06, 出現回数: 830
Link ID: _y140, current_velocityが0の割合: 0.06, 出現回数: 634
Link ID: _y021, current_velocityが0の割合: 0.05, 出現回数: 836
Link ID: _y1092, current_velocityが0の割合: 0.05, 出現回数: 19
Link ID: _y697, current_velocityが0の割合: 0.05, 出現回数: 345
Link ID: _y611, current_velocityが0の割合: 0.05, 出現回数: 1429
Link ID: _y280, current_velocityが0の割合: 0.05, 出現回数: 20
Link ID: _y767, current_velocityが0の割合: 0.05, 出現回数: 20
Link ID: _y548, current_velocityが0の割合: 0.05, 出現回数: 183
Link ID: _y392, current_velocityが0の割合: 0.05, 出現回数: 573
Link ID: _y885, current_velocityが0の割合: 0.05, 出現回数: 6244
Link ID: _y478, current_velocityが0の割合: 0.05, 出現回数: 123
Link ID: _y568, current_velocityが0の割合: 0.05, 出現回数: 577
Link ID: _y909, current_velocityが0の割合: 0.05, 出現回数: 518
Link ID: _y503, current_velocityが0の割合: 0.05, 出現回数: 83
Link ID: _y500, current_velocityが0の割合: 0.05, 出現回数: 570
Link ID: _y458, current_velocityが0の割合: 0.05, 出現回数: 561
Link ID: _y612, current_velocityが0の割合: 0.05, 出現回数: 44
Link ID: _y317, current_velocityが0の割合: 0.04, 出現回数: 45
